Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561nm Em: 620nm,count,strength,channel Ex: 561nm Em: 620nm
Primary somatosensory area/ trunk/ layer 6b,SSp-tr6b,461,left,all,178,216.879,798.511,178,216.879,798.511
Primary somatosensory area/ trunk/ layer 6b,SSp-tr6b,461,right,all,588,189.818,768.148,588,189.818,768.148
Primary somatosensory area/ unassigned,SSp-un,182305689,left,all,7686,259.945,1075.81,7686,259.945,1075.81
Primary somatosensory area/ unassigned,SSp-un,182305689,right,all,11011,210.476,890.817,11011,210.476,890.817
Primary somatosensory area/ unassigned/ layer 1,SSp-un1,182305693,left,all,0,0,0,0,0,0
Primary somatosensory area/ unassigned/ layer 1,SSp-un1,182305693,right,all,561,190.833,763.508,561,190.833,763.508
Primary somatosensory area/ unassigned/ layer 2/3,SSp-un2/3,182305697,left,all,1,347.88,1800,1,347.88,1800
Primary somatosensory area/ unassigned/ layer 2/3,SSp-un2/3,182305697,right,all,2159,176.403,805.145,2159,176.403,805.145
Primary somatosensory area/ unassigned/ layer 4,SSp-un4,182305701,left,all,385,216.775,866.016,385,216.775,866.016
Primary somatosensory area/ unassigned/ layer 4,SSp-un4,182305701,right,all,1798,195.434,875.984,1798,195.434,875.984
Primary somatosensory area/ unassigned/ layer 5,SSp-un5,182305705,left,all,2466,234.271,994.516,2466,234.271,994.516
Primary somatosensory area/ unassigned/ layer 5,SSp-un5,182305705,right,all,2893,255.517,967.069,2893,255.517,967.069
Primary somatosensory area/ unassigned/ layer 6a,SSp-un6a,182305709,left,all,4418,279.278,1137.68,4418,279.278,1137.68
Primary somatosensory area/ unassigned/ layer 6a,SSp-un6a,182305709,right,all,3350,204.98,908.389,3350,204.98,908.389
Primary somatosensory area/ unassigned/ layer 6b,SSp-un6b,182305713,left,all,416,246.562,1093.04,416,246.562,1093.04
Primary somatosensory area/ unassigned/ layer 6b,SSp-un6b,182305713,right,all,250,209.419,905.184,250,209.419,905.184
Supplemental somatosensory area,SSs,378,left,all,111394,281.039,1156.1,111394,281.039,1156.1
Supplemental somatosensory area,SSs,378,right,all,99223,198.159,854.76,99223,198.159,854.76
Supplemental somatosensory area/ layer 1,SSs1,873,left,all,12523,229.881,902.45,12523,229.881,902.45
Supplemental somatosensory area/ layer 1,SSs1,873,right,all,12516,158.653,726.9,12516,158.653,726.9
Supplemental somatosensory area/ layer 2/3,SSs2/3,806,left,all,27546,245.178,1113.75,27546,245.178,1113.75
Supplemental somatosensory area/ layer 2/3,SSs2/3,806,right,all,27368,171.36,828.432,27368,171.36,828.432
Supplemental somatosensory area/ layer 4,SSs4,1035,left,all,14585,266.226,1208.49,14585,266.226,1208.49
Supplemental somatosensory area/ layer 4,SSs4,1035,right,all,11790,269.31,957.795,11790,269.31,957.795
Supplemental somatosensory area/ layer 5,SSs5,1090,left,all,26857,361.891,1291.46,26857,361.891,1291.46
Supplemental somatosensory area/ layer 5,SSs5,1090,right,all,24588,230.503,916.98,24588,230.503,916.98
Supplemental somatosensory area/ layer 6a,SSs6a,862,left,all,27539,268.696,1156.39,27539,268.696,1156.39
Supplemental somatosensory area/ layer 6a,SSs6a,862,right,all,21337,185.903,837.869,21337,185.903,837.869
Supplemental somatosensory area/ layer 6b,SSs6b,893,left,all,2344,286.588,1128.33,2344,286.588,1128.33
Supplemental somatosensory area/ layer 6b,SSs6b,893,right,all,1624,109.021,815.732,1624,109.021,815.732
Gustatory areas,GU,1057,left,all,24229,227.933,962.575,24229,227.933,962.575
Gustatory areas,GU,1057,right,all,25215,189.638,730.791,25215,189.638,730.791
Gustatory areas/ layer 1,GU1,36,left,all,1961,170.877,740.596,1961,170.877,740.596
Gustatory areas/ layer 1,GU1,36,right,all,1781,135.901,597.061,1781,135.901,597.061
Gustatory areas/ layer 2/3,GU2/3,180,left,all,6506,192.344,930.825,6506,192.344,930.825
