Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561.000000nm Em: 620.000000nm,count,strength,channel Ex: 561.000000nm Em: 620.000000nm
Primary somatosensory area/ mouth,SSp-m,345,left,all,65342,386.426,1334.76,65342,386.426,1334.76
Primary somatosensory area/ mouth,SSp-m,345,right,all,44786,327.546,1118.8,44786,327.546,1118.8
Primary somatosensory area/ mouth/ layer 1,SSp-m1,878,left,all,7236,362.943,1116.94,7236,362.943,1116.94
Primary somatosensory area/ mouth/ layer 1,SSp-m1,878,right,all,4567,273.94,871.573,4567,273.94,871.573
Primary somatosensory area/ mouth/ layer 2/3,SSp-m2/3,657,left,all,18969,335.205,1277.77,18969,335.205,1277.77
Primary somatosensory area/ mouth/ layer 2/3,SSp-m2/3,657,right,all,12796,289.312,1065.8,12796,289.312,1065.8
Primary somatosensory area/ mouth/ layer 4,SSp-m4,950,left,all,11766,495.275,1541.83,11766,495.275,1541.83
Primary somatosensory area/ mouth/ layer 4,SSp-m4,950,right,all,7767,408.395,1277.59,7767,408.395,1277.59
Primary somatosensory area/ mouth/ layer 5,SSp-m5,974,left,all,15797,425.394,1408.36,15797,425.394,1408.36
Primary somatosensory area/ mouth/ layer 5,SSp-m5,974,right,all,9902,373.611,1244.38,9902,373.611,1244.38
Primary somatosensory area/ mouth/ layer 6a,SSp-m6a,1102,left,all,11062,325.231,1247.26,11062,325.231,1247.26
Primary somatosensory area/ mouth/ layer 6a,SSp-m6a,1102,right,all,9383,294.137,1048.85,9383,294.137,1048.85
Primary somatosensory area/ mouth/ layer 6b,SSp-m6b,2,left,all,512,234.376,1385.8,512,234.376,1385.8
Primary somatosensory area/ mouth/ layer 6b,SSp-m6b,2,right,all,371,228.971,1083.79,371,228.971,1083.79
Primary somatosensory area/ upper limb,SSp-ul,369,left,all,25073,337.753,1148.34,25073,337.753,1148.34
Primary somatosensory area/ upper limb,SSp-ul,369,right,all,19636,307.607,1049.55,19636,307.607,1049.55
Primary somatosensory area/ upper limb/ layer 1,SSp-ul1,450,left,all,333,344.141,1101.92,333,344.141,1101.92
Primary somatosensory area/ upper limb/ layer 1,SSp-ul1,450,right,all,695,282.786,952.797,695,282.786,952.797
Primary somatosensory area/ upper limb/ layer 2/3,SSp-ul2/3,854,left,all,3518,307.978,1103.61,3518,307.978,1103.61
Primary somatosensory area/ upper limb/ layer 2/3,SSp-ul2/3,854,right,all,3846,259.847,980.44,3846,259.847,980.44
Primary somatosensory area/ upper limb/ layer 4,SSp-ul4,577,left,all,4734,317.3,1150.7,4734,317.3,1150.7
Primary somatosensory area/ upper limb/ layer 4,SSp-ul4,577,right,all,3461,300.343,1050.96,3461,300.343,1050.96
Primary somatosensory area/ upper limb/ layer 5,SSp-ul5,625,left,all,8447,394.147,1254.19,8447,394.147,1254.19
