Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel (name not specified),count,strength,channel (name not specified)
Primary somatosensory area/ lower limb/ layer 1,SSp-ll1,1030,left,all,83,6938.11,593.096,83,6938.11,593.096
Primary somatosensory area/ lower limb/ layer 1,SSp-ll1,1030,right,all,68,6276.29,536.529,68,6276.29,536.529
Primary somatosensory area/ lower limb/ layer 2/3,SSp-ll2/3,113,left,all,1371,6511.37,580.007,1371,6511.37,580.007
Primary somatosensory area/ lower limb/ layer 2/3,SSp-ll2/3,113,right,all,1318,6673.77,581.294,1318,6673.77,581.294
Primary somatosensory area/ lower limb/ layer 4,SSp-ll4,1094,left,all,1425,8011,643.182,1425,8011,643.182
Primary somatosensory area/ lower limb/ layer 4,SSp-ll4,1094,right,all,1123,9153.37,657.925,1123,9153.37,657.925
Primary somatosensory area/ lower limb/ layer 5,SSp-ll5,1128,left,all,3943,11490.5,728.058,3943,11490.5,728.058
Primary somatosensory area/ lower limb/ layer 5,SSp-ll5,1128,right,all,2669,8938.44,675.251,2669,8938.44,675.251
Primary somatosensory area/ lower limb/ layer 6a,SSp-ll6a,478,left,all,2162,5913.25,634.696,2162,5913.25,634.696
Primary somatosensory area/ lower limb/ layer 6a,SSp-ll6a,478,right,all,1548,6881.52,650.907,1548,6881.52,650.907
Primary somatosensory area/ lower limb/ layer 6b,SSp-ll6b,510,left,all,100,8170.99,788.27,100,8170.99,788.27
Primary somatosensory area/ lower limb/ layer 6b,SSp-ll6b,510,right,all,70,5998.64,741.529,70,5998.64,741.529
Primary somatosensory area/ mouth,SSp-m,345,left,all,46964,6652.79,705.74,46964,6652.79,705.74
Primary somatosensory area/ mouth,SSp-m,345,right,all,22334,6955.45,613.92,22334,6955.45,613.92
Primary somatosensory area/ mouth/ layer 1,SSp-m1,878,left,all,3207,7258.97,618.12,3207,7258.97,618.12
Primary somatosensory area/ mouth/ layer 1,SSp-m1,878,right,all,2082,6205.14,557.772,2082,6205.14,557.772
Primary somatosensory area/ mouth/ layer 2/3,SSp-m2/3,657,left,all,9135,5936.32,658.42,9135,5936.32,658.42
Primary somatosensory area/ mouth/ layer 2/3,SSp-m2/3,657,right,all,4948,6852.39,622.403,4948,6852.39,622.403
Primary somatosensory area/ mouth/ layer 4,SSp-m4,950,left,all,10024,7388.77,727.42,10024,7388.77,727.42
