Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561.000000nm Em: 620.000000nm,count,strength,channel Ex: 561.000000nm Em: 620.000000nm
Primary somatosensory area/ lower limb/ layer 4,SSp-ll4,1094,left,all,2922,181.19,852.838,2922,181.19,852.838
Primary somatosensory area/ lower limb/ layer 4,SSp-ll4,1094,right,all,2015,177.187,744.69,2015,177.187,744.69
Primary somatosensory area/ lower limb/ layer 5,SSp-ll5,1128,left,all,5841,275.745,986.169,5841,275.745,986.169
Primary somatosensory area/ lower limb/ layer 5,SSp-ll5,1128,right,all,4222,225.521,833.729,4222,225.521,833.729
Primary somatosensory area/ lower limb/ layer 6a,SSp-ll6a,478,left,all,5728,152.928,741.784,5728,152.928,741.784
Primary somatosensory area/ lower limb/ layer 6a,SSp-ll6a,478,right,all,4269,133.509,629.774,4269,133.509,629.774
Primary somatosensory area/ lower limb/ layer 6b,SSp-ll6b,510,left,all,525,94.0687,642.981,525,94.0687,642.981
Primary somatosensory area/ lower limb/ layer 6b,SSp-ll6b,510,right,all,334,88.2923,569.467,334,88.2923,569.467
Primary somatosensory area/ mouth,SSp-m,345,left,all,90849,232.52,942.187,90849,232.52,942.187
Primary somatosensory area/ mouth,SSp-m,345,right,all,57334,192.189,835.86,57334,192.189,835.86
Primary somatosensory area/ mouth/ layer 1,SSp-m1,878,left,all,7562,247.396,756.923,7562,247.396,756.923
Primary somatosensory area/ mouth/ layer 1,SSp-m1,878,right,all,4659,180.298,690.205,4659,180.298,690.205
Primary somatosensory area/ mouth/ layer 2/3,SSp-m2/3,657,left,all,20684,206.957,963.051,20684,206.957,963.051
Primary somatosensory area/ mouth/ layer 2/3,SSp-m2/3,657,right,all,15262,163.513,870.484,15262,163.513,870.484
Primary somatosensory area/ mouth/ layer 4,SSp-m4,950,left,all,14920,232.072,1107.19,14920,232.072,1107.19
Primary somatosensory area/ mouth/ layer 4,SSp-m4,950,right,all,8624,206.472,935.505,8624,206.472,935.505
Primary somatosensory area/ mouth/ layer 5,SSp-m5,974,left,all,20833,312.321,1042.74,20833,312.321,1042.74
Primary somatosensory area/ mouth/ layer 5,SSp-m5,974,right,all,11368,250.137,932.047,11368,250.137,932.047
