Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel (name not specified),count,strength,channel (name not specified)
Primary somatosensory area/ mouth/ layer 4,SSp-m4,950,right,all,6964,136.633,642.271,6964,136.633,642.271
Primary somatosensory area/ mouth/ layer 5,SSp-m5,974,left,all,18584,174.262,705.135,18584,174.262,705.135
Primary somatosensory area/ mouth/ layer 5,SSp-m5,974,right,all,10399,177.073,633.092,10399,177.073,633.092
Primary somatosensory area/ mouth/ layer 6a,SSp-m6a,1102,left,all,19081,120.943,586.453,19081,120.943,586.453
Primary somatosensory area/ mouth/ layer 6a,SSp-m6a,1102,right,all,16064,118.957,522.934,16064,118.957,522.934
Primary somatosensory area/ mouth/ layer 6b,SSp-m6b,2,left,all,844,88.1746,546.231,844,88.1746,546.231
Primary somatosensory area/ mouth/ layer 6b,SSp-m6b,2,right,all,768,142.981,476.009,768,142.981,476.009
Primary somatosensory area/ upper limb,SSp-ul,369,left,all,30876,125.634,578.571,30876,125.634,578.571
Primary somatosensory area/ upper limb,SSp-ul,369,right,all,25875,125.794,507.462,25875,125.794,507.462
Primary somatosensory area/ upper limb/ layer 1,SSp-ul1,450,left,all,991,181.163,580.153,991,181.163,580.153
Primary somatosensory area/ upper limb/ layer 1,SSp-ul1,450,right,all,1104,145.973,505.161,1104,145.973,505.161
Primary somatosensory area/ upper limb/ layer 2/3,SSp-ul2/3,854,left,all,6300,115.091,575.513,6300,115.091,575.513
Primary somatosensory area/ upper limb/ layer 2/3,SSp-ul2/3,854,right,all,5053,121.528,512.016,5053,121.528,512.016
Primary somatosensory area/ upper limb/ layer 4,SSp-ul4,577,left,all,5025,118.338,617.753,5025,118.338,617.753
Primary somatosensory area/ upper limb/ layer 4,SSp-ul4,577,right,all,3911,115.641,517.002,3911,115.641,517.002
Primary somatosensory area/ upper limb/ layer 5,SSp-ul5,625,left,all,9023,148.576,615.065,9023,148.576,615.065
Primary somatosensory area/ upper limb/ layer 5,SSp-ul5,625,right,all,6578,149.176,544.571,6578,149.176,544.571
Primary somatosensory area/ upper limb/ layer 6a,SSp-ul6a,945,left,all,9206,109.279,526.445,9206,109.279,526.445
Primary somatosensory area/ upper limb/ layer 6a,SSp-ul6a,945,right,all,8862,113.449,476.18,8862,113.449,476.18
Primary somatosensory area/ upper limb/ layer 6b,SSp-ul6b,1026,left,all,331,100.28,492.118,331,100.28,492.118
Primary somatosensory area/ upper limb/ layer 6b,SSp-ul6b,1026,right,all,367,111.008,440.253,367,111.008,440.253
Primary somatosensory area/ trunk,SSp-tr,361,left,all,5267,124.475,553.115,5267,124.475,553.115
Primary somatosensory area/ trunk,SSp-tr,361,right,all,3875,126.835,526.749,3875,126.835,526.749
Primary somatosensory area/ trunk/ layer 1,SSp-tr1,1006,left,all,0,0,0,0,0,0
Primary somatosensory area/ trunk/ layer 1,SSp-tr1,1006,right,all,0,0,0,0,0,0
Primary somatosensory area/ trunk/ layer 2/3,SSp-tr2/3,670,left,all,0,0,0,0,0,0
Primary somatosensory area/ trunk/ layer 2/3,SSp-tr2/3,670,right,all,0,0,0,0,0,0
Primary somatosensory area/ trunk/ layer 4,SSp-tr4,1086,left,all,8,190.945,609.625,8,190.945,609.625
Primary somatosensory area/ trunk/ layer 4,SSp-tr4,1086,right,all,0,0,0,0,0,0
Primary somatosensory area/ trunk/ layer 5,SSp-tr5,1111,left,all,1280,130.408,554.573,1280,130.408,554.573
Primary somatosensory area/ trunk/ layer 5,SSp-tr5,1111,right,all,846,162.496,577.047,846,162.496,577.047
Primary somatosensory area/ trunk/ layer 6a,SSp-tr6a,9,left,all,3349,120.546,547.699,3349,120.546,547.699
Primary somatosensory area/ trunk/ layer 6a,SSp-tr6a,9,right,all,2567,116.264,510.297,2567,116.264,510.297
Primary somatosensory area/ trunk/ layer 6b,SSp-tr6b,461,left,all,630,132.461,578.229,630,132.461,578.229
