Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561nm Em: 620nm,count,strength,channel Ex: 561nm Em: 620nm
Primary somatosensory area/ trunk/ layer 4,SSp-tr4,1086,left,all,217,200.518,229.926,217,200.518,229.926
Primary somatosensory area/ trunk/ layer 4,SSp-tr4,1086,right,all,0,0,0,0,0,0
Primary somatosensory area/ trunk/ layer 5,SSp-tr5,1111,left,all,2586,142.555,426.305,2586,142.555,426.305
Primary somatosensory area/ trunk/ layer 5,SSp-tr5,1111,right,all,25,195.963,464,25,195.963,464
Primary somatosensory area/ trunk/ layer 6a,SSp-tr6a,9,left,all,4638,154.289,586.44,4638,154.289,586.44
Primary somatosensory area/ trunk/ layer 6a,SSp-tr6a,9,right,all,1611,162.013,469.846,1611,162.013,469.846
Primary somatosensory area/ trunk/ layer 6b,SSp-tr6b,461,left,all,605,192.995,640.114,605,192.995,640.114
Primary somatosensory area/ trunk/ layer 6b,SSp-tr6b,461,right,all,336,116.265,530.616,336,116.265,530.616
Primary somatosensory area/ unassigned,SSp-un,182305689,left,all,16732,166.078,650.727,16732,166.078,650.727
Primary somatosensory area/ unassigned,SSp-un,182305689,right,all,7699,174.165,604.103,7699,174.165,604.103
Primary somatosensory area/ unassigned/ layer 1,SSp-un1,182305693,left,all,1198,157.221,269.421,1198,157.221,269.421
Primary somatosensory area/ unassigned/ layer 1,SSp-un1,182305693,right,all,0,0,0,0,0,0
Primary somatosensory area/ unassigned/ layer 2/3,SSp-un2/3,182305697,left,all,3762,170.981,550.283,3762,170.981,550.283
Primary somatosensory area/ unassigned/ layer 2/3,SSp-un2/3,182305697,right,all,373,136.505,476.399,373,136.505,476.399
Primary somatosensory area/ unassigned/ layer 4,SSp-un4,182305701,left,all,3069,223.264,720.9,3069,223.264,720.9
Primary somatosensory area/ unassigned/ layer 4,SSp-un4,182305701,right,all,1326,153.789,569.222,1326,153.789,569.222
Primary somatosensory area/ unassigned/ layer 5,SSp-un5,182305705,left,all,4511,170.384,781.097,4511,170.384,781.097
Primary somatosensory area/ unassigned/ layer 5,SSp-un5,182305705,right,all,2564,163.394,635.457,2564,163.394,635.457
Primary somatosensory area/ unassigned/ layer 6a,SSp-un6a,182305709,left,all,3880,112.494,663.476,3880,112.494,663.476
Primary somatosensory area/ unassigned/ layer 6a,SSp-un6a,182305709,right,all,3178,197.208,611.964,3178,197.208,611.964
Primary somatosensory area/ unassigned/ layer 6b,SSp-un6b,182305713,left,all,312,182.543,592.215,312,182.543,592.215
Primary somatosensory area/ unassigned/ layer 6b,SSp-un6b,182305713,right,all,258,156.542,559.566,258,156.542,559.566
Supplemental somatosensory area,SSs,378,left,all,119283,166.229,664.114,119283,166.229,664.114
Supplemental somatosensory area,SSs,378,right,all,54013,161.628,626.7,54013,161.628,626.7
Supplemental somatosensory area/ layer 1,SSs1,873,left,all,14083,230.725,478.546,14083,230.725,478.546
Supplemental somatosensory area/ layer 1,SSs1,873,right,all,0,0,0,0,0,0
Supplemental somatosensory area/ layer 2/3,SSs2/3,806,left,all,27412,223.41,655.053,27412,223.41,655.053
Supplemental somatosensory area/ layer 2/3,SSs2/3,806,right,all,5430,163.854,657.471,5430,163.854,657.471
Supplemental somatosensory area/ layer 4,SSs4,1035,left,all,18574,168.883,758.79,18574,168.883,758.79
Supplemental somatosensory area/ layer 4,SSs4,1035,right,all,7922,129.916,690.775,7922,129.916,690.775
Supplemental somatosensory area/ layer 5,SSs5,1090,left,all,31494,132.745,734.894,31494,132.745,734.894
Supplemental somatosensory area/ layer 5,SSs5,1090,right,all,19575,143.902,659.977,19575,143.902,659.977
Supplemental somatosensory area/ layer 6a,SSs6a,862,left,all,25052,112.446,617.257,25052,112.446,617.257
Supplemental somatosensory area/ layer 6a,SSs6a,862,right,all,18840,193.661,572.407,18840,193.661,572.407
Supplemental somatosensory area/ layer 6b,SSs6b,893,left,all,2668,120.098,682.075,2668,120.098,682.075
Supplemental somatosensory area/ layer 6b,SSs6b,893,right,all,2246,153.887,491.711,2246,153.887,491.711
Gustatory areas,GU,1057,left,all,17498,140.54,529.645,17498,140.54,529.645
Gustatory areas,GU,1057,right,all,13297,149.583,518.714,13297,149.583,518.714
