Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561.000000nm Em: 620.000000nm,count,strength,channel Ex: 561.000000nm Em: 620.000000nm
Primary somatosensory area/ upper limb/ layer 1,SSp-ul1,450,right,all,4249,515.733,1681.59,4249,515.733,1681.59
Primary somatosensory area/ upper limb/ layer 2/3,SSp-ul2/3,854,left,all,3347,201.742,794.102,3347,201.742,794.102
Primary somatosensory area/ upper limb/ layer 2/3,SSp-ul2/3,854,right,all,1634,189.833,675.578,1634,189.833,675.578
Primary somatosensory area/ upper limb/ layer 4,SSp-ul4,577,left,all,2849,209.71,827.786,2849,209.71,827.786
Primary somatosensory area/ upper limb/ layer 4,SSp-ul4,577,right,all,1435,196.372,697.335,1435,196.372,697.335
Primary somatosensory area/ upper limb/ layer 5,SSp-ul5,625,left,all,4972,245.656,853.104,4972,245.656,853.104
Primary somatosensory area/ upper limb/ layer 5,SSp-ul5,625,right,all,3643,216.773,704.938,3643,216.773,704.938
Primary somatosensory area/ upper limb/ layer 6a,SSp-ul6a,945,left,all,3587,173.012,706.915,3587,173.012,706.915
Primary somatosensory area/ upper limb/ layer 6a,SSp-ul6a,945,right,all,2153,161.883,593.619,2153,161.883,593.619
Primary somatosensory area/ upper limb/ layer 6b,SSp-ul6b,1026,left,all,378,146.725,818.257,378,146.725,818.257
Primary somatosensory area/ upper limb/ layer 6b,SSp-ul6b,1026,right,all,234,165.003,551.15,234,165.003,551.15
Primary somatosensory area/ trunk,SSp-tr,361,left,all,6925,285.626,1112.2,6925,285.626,1112.2
Primary somatosensory area/ trunk,SSp-tr,361,right,all,4168,262.351,927.004,4168,262.351,927.004
Primary somatosensory area/ trunk/ layer 1,SSp-tr1,1006,left,all,1702,545.942,2091.02,1702,545.942,2091.02
Primary somatosensory area/ trunk/ layer 1,SSp-tr1,1006,right,all,1003,501.63,1732.14,1003,501.63,1732.14
Primary somatosensory area/ trunk/ layer 2/3,SSp-tr2/3,670,left,all,821,172.621,740.845,821,172.621,740.845
Primary somatosensory area/ trunk/ layer 2/3,SSp-tr2/3,670,right,all,448,167.087,633.23,448,167.087,633.23
Primary somatosensory area/ trunk/ layer 4,SSp-tr4,1086,left,all,490,194.261,776.373,490,194.261,776.373
Primary somatosensory area/ trunk/ layer 4,SSp-tr4,1086,right,all,269,179.318,670.346,269,179.318,670.346
Primary somatosensory area/ trunk/ layer 5,SSp-tr5,1111,left,all,2466,225.887,830.99,2466,225.887,830.99
Primary somatosensory area/ trunk/ layer 5,SSp-tr5,1111,right,all,1501,199.613,694.31,1501,199.613,694.31
Primary somatosensory area/ trunk/ layer 6a,SSp-tr6a,9,left,all,1231,176.157,756.383,1231,176.157,756.383
Primary somatosensory area/ trunk/ layer 6a,SSp-tr6a,9,right,all,852,179.547,659.276,852,179.547,659.276
Primary somatosensory area/ trunk/ layer 6b,SSp-tr6b,461,left,all,215,176.599,809.814,215,176.599,809.814
Primary somatosensory area/ trunk/ layer 6b,SSp-tr6b,461,right,all,95,154.318,616.253,95,154.318,616.253
Primary somatosensory area/ unassigned,SSp-un,182305689,left,all,6962,283.633,1069.4,6962,283.633,1069.4
Primary somatosensory area/ unassigned,SSp-un,182305689,right,all,4415,303.998,981.353,4415,303.998,981.353
Primary somatosensory area/ unassigned/ layer 1,SSp-un1,182305693,left,all,1555,549.285,1926.72,1555,549.285,1926.72
Primary somatosensory area/ unassigned/ layer 1,SSp-un1,182305693,right,all,1582,512.481,1591.16,1582,512.481,1591.16
Primary somatosensory area/ unassigned/ layer 2/3,SSp-un2/3,182305697,left,all,1146,205.14,807.928,1146,205.14,807.928
