Region,,,,Experiment,Marker 1,,,Total,,
name,acronym,id,hemisphere,section,count,strength,channel Ex: 561.000000nm Em: 620.000000nm,count,strength,channel Ex: 561.000000nm Em: 620.000000nm
Primary somatosensory area/ barrel field/ layer 6b,SSp-bfd6b,1062,left,all,1706,122.065,984.585,1706,122.065,984.585
Primary somatosensory area/ barrel field/ layer 6b,SSp-bfd6b,1062,right,all,2555,98.6131,832.744,2555,98.6131,832.744
Primary somatosensory area/ lower limb,SSp-ll,337,left,all,16238,102.49,976.28,16238,102.49,976.28
Primary somatosensory area/ lower limb,SSp-ll,337,right,all,13291,104.643,963.48,13291,104.643,963.48
Primary somatosensory area/ lower limb/ layer 1,SSp-ll1,1030,left,all,836,78.5421,737.053,836,78.5421,737.053
Primary somatosensory area/ lower limb/ layer 1,SSp-ll1,1030,right,all,1171,72.8018,720.997,1171,72.8018,720.997
Primary somatosensory area/ lower limb/ layer 2/3,SSp-ll2/3,113,left,all,3599,81.5758,921.197,3599,81.5758,921.197
Primary somatosensory area/ lower limb/ layer 2/3,SSp-ll2/3,113,right,all,3315,78.4001,889.311,3315,78.4001,889.311
Primary somatosensory area/ lower limb/ layer 4,SSp-ll4,1094,left,all,1603,102.56,1056.31,1603,102.56,1056.31
Primary somatosensory area/ lower limb/ layer 4,SSp-ll4,1094,right,all,993,193.268,1254.89,993,193.268,1254.89
Primary somatosensory area/ lower limb/ layer 5,SSp-ll5,1128,left,all,3067,152.037,1175.33,3067,152.037,1175.33
Primary somatosensory area/ lower limb/ layer 5,SSp-ll5,1128,right,all,2316,146.949,1155.79,2316,146.949,1155.79
Primary somatosensory area/ lower limb/ layer 6a,SSp-ll6a,478,left,all,6246,93.1171,926.979,6246,93.1171,926.979
Primary somatosensory area/ lower limb/ layer 6a,SSp-ll6a,478,right,all,4718,89.7991,932.61,4718,89.7991,932.61
Primary somatosensory area/ lower limb/ layer 6b,SSp-ll6b,510,left,all,887,104.483,939.513,887,104.483,939.513
Primary somatosensory area/ lower limb/ layer 6b,SSp-ll6b,510,right,all,778,115.349,887.262,778,115.349,887.262
Primary somatosensory area/ mouth,SSp-m,345,left,all,46296,143.341,1100.25,46296,143.341,1100.25
Primary somatosensory area/ mouth,SSp-m,345,right,all,24018,101.227,905.677,24018,101.227,905.677
Primary somatosensory area/ mouth/ layer 1,SSp-m1,878,left,all,5028,285.009,1087.79,5028,285.009,1087.79
Primary somatosensory area/ mouth/ layer 1,SSp-m1,878,right,all,2947,112.037,778.782,2947,112.037,778.782
Primary somatosensory area/ mouth/ layer 2/3,SSp-m2/3,657,left,all,9579,126.214,1120.76,9579,126.214,1120.76
Primary somatosensory area/ mouth/ layer 2/3,SSp-m2/3,657,right,all,6698,86.6233,914.173,6698,86.6233,914.173
Primary somatosensory area/ mouth/ layer 4,SSp-m4,950,left,all,7970,134.005,1236.6,7970,134.005,1236.6
Primary somatosensory area/ mouth/ layer 4,SSp-m4,950,right,all,3366,117.694,985.35,3366,117.694,985.35
Primary somatosensory area/ mouth/ layer 5,SSp-m5,974,left,all,8959,169.589,1207.8,8959,169.589,1207.8
